learner,csl_variant,split_seed,model_seed,level,negative_retention,precision_expected,precision_observed,abs_error
decision_tree,weighted,456,456,prev_0.2581pct,0.5,0.06793145654834762,0.06791220786504394,1.9248683303677017e-05
decision_tree,weighted,456,456,prev_1.2765pct,0.0999997901720798,0.26708414509877465,0.26708995255592344,5.807457148787609e-06
decision_tree,weighted,456,456,prev_10pct,0.0116328598916028,0.7580222766206837,0.7589411125057915,0.0009188358851078826
decision_tree,weighted,456,456,prev_11.32pct,0.0100003986730482,0.7846673768755217,0.7855481155703472,0.0008807386948255225
decision_tree,weighted,456,456,prev_1pct,0.1279614588076318,0.22165837854294748,0.22166373393671818,5.3553937706951604e-06
decision_tree,weighted,456,456,prev_50pct,0.0012925399879558,0.9657458070727629,0.9658464590548138,0.00010065198205089221
decision_tree,weighted,456,789,natural,1.0,0.03516107573885774,0.0351610757388577,4.163336342344337e-17
decision_tree,weighted,456,789,prev_0.2581pct,0.5,0.06793353529789774,0.06789031374643358,4.322155146416207e-05
decision_tree,weighted,456,789,prev_1.2765pct,0.0999997901720798,0.26709057172105666,0.2664381321005076,0.0006524396205490612
decision_tree,weighted,456,789,prev_10pct,0.0116328598916028,0.7580282984841742,0.7561193551975485,0.0019089432866257194
decision_tree,weighted,456,789,prev_11.32pct,0.0100003986730482,0.7846729240087792,0.7826021221743562,0.002070801834422986
decision_tree,weighted,456,789,prev_1pct,0.1279614588076318,0.22166404270415624,0.22095351154845239,0.0007105311557038529
decision_tree,weighted,456,789,prev_50pct,0.0012925399879558,0.9657468931161114,0.9656452665805021,0.00010162653560930046
decision_tree,weighted,789,42,natural,1.0,0.024014224453509047,0.024014224453509,4.85722573273506e-17
decision_tree,weighted,789,42,prev_0.2581pct,0.5,0.04690213061507977,0.046918713395125315,1.6582780045543144e-05
decision_tree,weighted,789,42,prev_1.2765pct,0.0999997901720798,0.19746494197674205,0.197322991181519,0.00014195079522305587
decision_tree,weighted,789,42,prev_10pct,0.0116328598916028,0.6789868700319328,0.6769350950484813,0.0020517749834515486
decision_tree,weighted,789,42,prev_11.32pct,0.0100003986730482,0.7110170351557823,0.7088304671968877,0.002186567958894603
decision_tree,weighted,789,42,prev_1pct,0.1279614588076318,0.1612745118147332,0.161209688263262,6.482355147119367e-05
decision_tree,weighted,789,42,prev_50pct,0.0012925399879558,0.9500904271677811,0.9501855156931789,9.508852539774626e-05
decision_tree,weighted,789,123,natural,1.0,0.02401472680110451,0.0240147268011045,1.0408340855860843e-17
decision_tree,weighted,789,123,prev_0.2581pct,0.5,0.0469030887399902,0.04688018805936121,2.2900680628989978e-05
decision_tree,weighted,789,123,prev_1.2765pct,0.0999997901720798,0.1974683385788502,0.1968299748953148,0.0006383636835353979
decision_tree,weighted,789,123,prev_10pct,0.0116328598916028,0.6789915416824894,0.6787510181312111,0.0002405235512783488
decision_tree,weighted,789,123,prev_11.32pct,0.0100003986730482,0.7110214390626672,0.7109755680378086,4.5871024858645804e-05
decision_tree,weighted,789,123,prev_1pct,0.1279614588076318,0.16127741100403553,0.16091052280543813,0.0003668881985973982
decision_tree,weighted,789,123,prev_50pct,0.0012925399879558,0.9500914434924077,0.9503702103130393,0.00027876682063154856
decision_tree,weighted,789,456,natural,1.0,0.02401472680110451,0.0240147268011045,1.0408340855860843e-17
decision_tree,weighted,789,456,prev_0.2581pct,0.5,0.0469030887399902,0.04690176666151864,1.3220784715536893e-06
decision_tree,weighted,789,456,prev_1.2765pct,0.0999997901720798,0.1974683385788502,0.19727620232635965,0.00019213625249056565
decision_tree,weighted,789,456,prev_10pct,0.0116328598916028,0.6789915416824894,0.6794907057993437,0.0004991641168542449
decision_tree,weighted,789,456,prev_11.32pct,0.0100003986730482,0.7110214390626672,0.7114349134113364,0.00041347434866911836
decision_tree,weighted,789,456,prev_1pct,0.1279614588076318,0.16127741100403553,0.1611952407532078,8.217025082773999e-05
decision_tree,weighted,789,456,prev_50pct,0.0012925399879558,0.9500914434924077,0.9502888883887836,0.0001974448963758535
decision_tree,weighted,789,789,natural,1.0,0.024014224453509047,0.024014224453509,4.85722573273506e-17
decision_tree,weighted,789,789,prev_0.2581pct,0.5,0.04690213061507977,0.04688954744656595,1.2583168513824461e-05
decision_tree,weighted,789,789,prev_1.2765pct,0.0999997901720798,0.19746494197674205,0.1976801916926409,0.0002152497158988409
decision_tree,weighted,789,789,prev_10pct,0.0116328598916028,0.6789868700319328,0.6803524013271881,0.0013655312952552956
decision_tree,weighted,789,789,prev_11.32pct,0.0100003986730482,0.7110170351557823,0.7119938740439139,0.0009768388881316037
