learner,reference,reference_R_train,R_train,split_seed,model_seed,exact_seed_match,matched_by_determinism,same_test_observations,reference_pr_auc,pr_auc,delta_pr_auc,reference_ner,ner,delta_ner
decision_tree,unweighted,1.0,5000.0,123,456,True,False,True,0.7674547839989712,0.6783151479705812,-0.08913963602838992,0.1831234650863708,0.13451235471329165,-0.048611110373079164
decision_tree,unweighted,1.0,5000.0,123,789,True,False,True,0.7674627863245576,0.6783169404621416,-0.08914584586241592,0.1831171704979658,0.13451025651715662,-0.048606913980809185
decision_tree,unweighted,1.0,5000.0,42,123,True,False,True,0.7297426212657876,0.6543382622000495,-0.07540435906573806,0.1526775218578796,0.1485071290302526,-0.0041703928276270175
decision_tree,unweighted,1.0,5000.0,42,42,True,False,True,0.7297426212657876,0.6543382622000495,-0.07540435906573806,0.1526775218578796,0.1485071290302526,-0.0041703928276270175
decision_tree,unweighted,1.0,5000.0,42,456,True,False,True,0.7297814974740391,0.6543382622000495,-0.07544323527398955,0.1526775218578796,0.1485071290302526,-0.0041703928276270175
decision_tree,unweighted,1.0,5000.0,42,789,True,False,True,0.7297426212657876,0.6543382622000495,-0.07540435906573806,0.1526775218578796,0.1485071290302526,-0.0041703928276270175
decision_tree,unweighted,1.0,5000.0,456,123,True,False,True,0.7511873139577037,0.6654224062119979,-0.08576490774570578,0.193050464282648,0.13758779138247276,-0.05546267290017523
decision_tree,unweighted,1.0,5000.0,456,42,True,False,True,0.7511850498051984,0.6654224062119979,-0.08576264359320052,0.1930515133807155,0.13758779138247276,-0.05546372199824273
decision_tree,unweighted,1.0,5000.0,456,456,True,False,True,0.7507019534840034,0.6654224062119979,-0.08527954727200548,0.1930515133807155,0.13758779138247276,-0.05546372199824273
decision_tree,unweighted,1.0,5000.0,456,789,True,False,True,0.7511850498051984,0.6654224062119979,-0.08576264359320052,0.1930515133807155,0.13758779138247276,-0.05546372199824273
decision_tree,unweighted,1.0,5000.0,789,123,True,False,True,0.7571897155189382,0.6760174271109463,-0.08117228840799195,0.1875312563012945,0.12217127254329975,-0.06535998375799475
decision_tree,unweighted,1.0,5000.0,789,42,True,False,True,0.7571897155189382,0.6760174271109463,-0.08117228840799195,0.1875312563012945,0.12217127254329975,-0.06535998375799475
decision_tree,unweighted,1.0,5000.0,789,456,True,False,True,0.7571744114532092,0.6760174271109463,-0.08115698434226293,0.1875354526935645,0.12217127254329975,-0.06536418015026475
decision_tree,unweighted,1.0,5000.0,789,789,True,False,True,0.7572455594467772,0.6760174271109463,-0.08122813233583093,0.1875354526935645,0.12217127254329975,-0.06536418015026475
logistic_regression,unweighted,1.0,10.0,123,42,True,False,True,0.5337812107525854,0.500874642131849,-0.03290656862073649,0.2162729915161711,0.2080044338294892,-0.008268557686681915
logistic_regression,unweighted,1.0,10.0,42,42,True,False,True,0.5039687570139619,0.4662324357570748,-0.03773632125688714,0.2498868231012079,0.24420523292864954,-0.005681590172558371
logistic_regression,unweighted,1.0,10.0,456,42,True,False,True,0.5220509431039683,0.49236189059731383,-0.029689052506654434,0.2260806329105404,0.21188011568345244,-0.014200517227087955
logistic_regression,unweighted,1.0,10.0,789,42,True,False,True,0.5345349621036724,0.5022368980361961,-0.03229806406747626,0.2223651380998104,0.20791137769404777,-0.014453760405762628
logistic_regression,unweighted,1.0,50.0,123,42,True,False,True,0.5337812107525854,0.3940204120463572,-0.13976079870622826,0.2162729915161711,0.20575338296917192,-0.010519608546999182
logistic_regression,unweighted,1.0,50.0,42,42,True,False,True,0.5039687570139619,0.36094357569857066,-0.14302518131539127,0.2498868231012079,0.22868440873080212,-0.021202414370405792
logistic_regression,unweighted,1.0,50.0,456,42,True,False,True,0.5220509431039683,0.396637793668052,-0.12541314943591625,0.2260806329105404,0.20466618104160245,-0.02141445186893795
logistic_regression,unweighted,1.0,50.0,789,42,True,False,True,0.5345349621036724,0.3978695637977518,-0.13666539830592056,0.2223651380998104,0.20186983856396673,-0.02049529953584367
logistic_regression,unweighted,1.0,100.0,123,42,True,False,True,0.5337812107525854,0.32634926475291043,-0.20743194599967502,0.2162729915161711,0.20296837529807693,-0.013304616218094173
logistic_regression,unweighted,1.0,100.0,42,42,True,False,True,0.5039687570139619,0.29660007740266064,-0.2073686796113013,0.2498868231012079,0.22385321517806459,-0.026033607923143326
logistic_regression,unweighted,1.0,100.0,456,42,True,False,True,0.5220509431039683,0.333228104201823,-0.18882283890214524,0.2260806329105404,0.20362875411025458,-0.02245187880028582
logistic_regression,unweighted,1.0,100.0,789,42,True,False,True,0.5345349621036724,0.33278137306513367,-0.20175358903853868,0.2223651380998104,0.19977762342477687,-0.022587514675033532
logistic_regression,unweighted,1.0,773.7010836478753,123,42,True,False,True,0.5337812107525854,0.165715911164837,-0.3680652995877485,0.2162729915161711,0.1958833600296367,-0.020389631486534415
