cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,threshold_B,threshold_C,threshold_gap,rules_agree,test_ner_B,test_ner_C,delta_ner_test
random_forest__weighted__split123__model123,random_forest,weighted,123,123,val_class_ratio,773.6688311688312,0.1973086297512054,0.1973086297512054,0.0,True,0.1240738394175382,0.1240738394175382,0.0
random_forest__weighted__split123__model123,random_forest,weighted,123,123,R_x1,773.7010836478753,0.1973086297512054,0.1973086297512054,0.0,True,0.1240721185527404,0.1240721185527404,0.0
random_forest__weighted__split123__model456,random_forest,weighted,123,456,val_class_ratio,773.6688311688312,0.1909539401531219,0.1909539401531219,0.0,True,0.1328516818696851,0.1328516818696851,0.0
random_forest__weighted__split123__model456,random_forest,weighted,123,456,R_x1,773.7010836478753,0.1909539401531219,0.1909539401531219,0.0,True,0.1328499334521572,0.1328499334521572,0.0
random_forest__weighted__split123__model789,random_forest,weighted,123,789,val_class_ratio,773.6688311688312,0.1878827363252639,0.1878827363252639,0.0,True,0.1278339500107094,0.1278339500107094,0.0
random_forest__weighted__split123__model789,random_forest,weighted,123,789,R_x1,773.7010836478753,0.1878827363252639,0.1878827363252639,0.0,True,0.1278318693859789,0.1278318693859789,0.0
random_forest__weighted__split456__model42,random_forest,weighted,456,42,val_class_ratio,773.6688311688312,0.173733577132225,0.173733577132225,0.0,True,0.1441481527201658,0.1441481527201658,0.0
random_forest__weighted__split456__model42,random_forest,weighted,456,42,R_x1,773.7010836478753,0.173733577132225,0.173733577132225,0.0,True,0.1441461025783764,0.1441461025783764,0.0
random_forest__weighted__split456__model123,random_forest,weighted,456,123,val_class_ratio,773.6688311688312,0.198261559009552,0.198261559009552,0.0,True,0.1390332798679771,0.1390332798679771,0.0
random_forest__weighted__split456__model123,random_forest,weighted,456,123,R_x1,773.7010836478753,0.198261559009552,0.198261559009552,0.0,True,0.1390320858288719,0.1390320858288719,0.0
random_forest__weighted__split456__model456,random_forest,weighted,456,456,val_class_ratio,773.6688311688312,0.1766688525676727,0.1766688525676727,0.0,True,0.138873081364898,0.138873081364898,0.0
random_forest__weighted__split456__model456,random_forest,weighted,456,456,R_x1,773.7010836478753,0.1766688525676727,0.1766688525676727,0.0,True,0.1388714541356479,0.1388714541356479,0.0
